,cell_type,sampleID,status
171,Capillary_Endo,control_P1,control
172,healthy_CM,control_P1,control
173,LYVE_PLTP_Macrophages,control_P1,control
174,Myofib,control_P1,control
175,Fib_SCARA5,control_P1,control
176,Myofib,control_P1,control
177,LYVE_FOLR_Macrophages,control_P1,control
178,Capillary_Endo,control_P1,control
179,LYVE_FOLR_Macrophages,control_P1,control
180,Capillary_Endo,control_P1,control
181,Myofib,control_P1,control
182,Fib_SCARA5,control_P1,control
183,Endocardial_Endo,control_P1,control
184,Myofib,control_P1,control
185,vSMCs_1,control_P1,control
186,Endocardial_Endo,control_P1,control
187,healthy_CM,control_P1,control
188,LYVE_FOLR_Macrophages,control_P1,control
189,Capillary_Endo,control_P1,control
190,LYVE_FOLR_Macrophages,control_P1,control
191,Fib_SCARA5,control_P1,control
192,Capillary_Endo,control_P1,control
193,LYVE_FOLR_Macrophages,control_P1,control
194,Fib_SCARA5,control_P1,control
195,Capillary_Endo,control_P1,control
196,Capillary_Endo,control_P1,control
197,Capillary_Endo,control_P1,control
198,Pericyte_2,control_P1,control
199,intermediate_CM,control_P1,control
200,Fib_SCARA5,control_P1,control
201,Endocardial_Endo,control_P1,control
202,healthy_CM,control_P1,control
203,healthy_CM,control_P1,control
204,Neuronal,control_P1,control
205,healthy_CM,control_P1,control
206,healthy_CM,control_P1,control
207,Fib_0,control_P1,control
208,healthy_CM,control_P1,control
209,Myofib,control_P1,control
210,Capillary_Endo,control_P1,control
211,Fib_SCARA5,control_P1,control
212,Fib_0,control_P1,control
213,Capillary_Endo,control_P1,control
214,Capillary_Endo,control_P1,control
215,Endocardial_Endo,control_P1,control
216,healthy_CM,control_P1,control
217,healthy_CM,control_P1,control
218,Myofib,control_P1,control
219,Monocytes,control_P1,control
220,Pericyte_1,control_P1,control
221,Fib_0,control_P1,control
222,healthy_CM,control_P1,control
223,healthy_CM,control_P1,control
224,Fib_0,control_P1,control
225,Pericyte_1,control_P1,control
226,Arterial_Endo,control_P1,control
227,Monocytes,control_P1,control
228,Fib_0,control_P1,control
229,healthy_CM,control_P1,control
230,healthy_CM,control_P1,control
231,Fib_0,control_P1,control
232,Monocytes,control_P1,control
233,healthy_CM,control_P1,control
234,healthy_CM,control_P1,control
235,damaged_CM,control_P1,control
236,LYVE_FOLR_Macrophages,control_P1,control
237,Myofib,control_P1,control
238,Fib_3,control_P1,control
239,Fib_SCARA5,control_P1,control
240,Fib_0,control_P1,control
241,Pericyte_1,control_P1,control
242,Fib_0,control_P1,control
243,prolif,control_P1,control
244,healthy_CM,control_P1,control
245,SPP1_Macrophages,control_P1,control
246,LYVE_FOLR_Macrophages,control_P1,control
247,Monocytes,control_P1,control
248,damaged_CM,control_P1,control
249,Myofib,control_P1,control
250,healthy_CM,control_P1,control
251,prolif,control_P1,control
252,intermediate_CM,control_P1,control
253,healthy_CM,control_P1,control
254,healthy_CM,control_P1,control
255,Fib_3,control_P1,control
256,Fib_0,control_P1,control
257,Myofib,control_P1,control
258,healthy_CM,control_P1,control
259,Fib_3,control_P1,control
260,healthy_CM,control_P1,control
261,Fib_0,control_P1,control
262,Fib_0,control_P1,control
263,Fib_SCARA5,control_P1,control
264,Capillary_Endo,control_P1,control
265,Venous_Endo,control_P1,control
266,Fib_SCARA5,control_P1,control
267,Monocytes,control_P1,control
268,Endocardial_Endo,control_P1,control
269,healthy_CM,control_P1,control
270,Myofib,control_P1,control
271,Venous_Endo,control_P1,control
272,Arterial_Endo,control_P1,control
273,intermediate_CM,control_P1,control
274,CCL18_Macrophages,control_P1,control
275,Fib_SCARA5,control_P1,control
276,vSMCs_1,control_P1,control
277,prolif,control_P1,control
278,Fib_0,control_P1,control
279,healthy_CM,control_P1,control
280,Monocytes,control_P1,control
281,Endocardial_Endo,control_P1,control
282,Fib_SCARA5,control_P1,control
283,healthy_CM,control_P1,control
284,Fib_3,control_P1,control
285,Fib_0,control_P1,control
286,Fib_0,control_P1,control
287,Capillary_Endo,control_P1,control
288,Fib_0,control_P1,control
289,intermediate_CM,control_P1,control
290,Arterial_Endo,control_P1,control
291,damaged_CM,control_P1,control
292,Fib_SCARA5,control_P1,control
293,healthy_CM,control_P1,control
294,Fib_0,control_P1,control
295,Fib_0,control_P1,control
296,Endocardial_Endo,control_P1,control
297,Arterial_Endo,control_P1,control
298,Arterial_Endo,control_P1,control
299,healthy_CM,control_P1,control
300,Myofib,control_P1,control
301,Fib_0,control_P1,control
302,LYVE_FOLR_Macrophages,control_P1,control
303,LYVE_FOLR_Macrophages,control_P1,control
304,healthy_CM,control_P1,control
305,Myofib,control_P1,control
306,Fib_3,control_P1,control
307,Endocardial_Endo,control_P1,control
308,Monocytes,control_P1,control
309,Capillary_Endo,control_P1,control
310,healthy_CM,control_P1,control
311,perivascular_fibroblasts,control_P1,control
312,healthy_CM,control_P1,control
313,Capillary_Endo,control_P1,control
314,healthy_CM,control_P1,control
315,healthy_CM,control_P1,control
316,healthy_CM,control_P1,control
317,intermediate_CM,control_P1,control
318,Endocardial_Endo,control_P1,control
319,Arterial_Endo,control_P1,control
320,healthy_CM,control_P1,control
321,Fib_0,control_P1,control
322,Fib_0,control_P1,control
323,LYVE_FOLR_Macrophages,control_P1,control
324,LYVE_FOLR_Macrophages,control_P1,control
325,LYVE_FOLR_Macrophages,control_P1,control
326,healthy_CM,control_P1,control
327,LYVE_FOLR_Macrophages,control_P1,control
328,Fib_0,control_P1,control
329,Myofib,control_P1,control
330,damaged_CM,control_P1,control
331,Fib_SCARA5,control_P1,control
332,Neuronal,control_P1,control
333,healthy_CM,control_P1,control
334,LYVE_PLTP_Macrophages,control_P1,control
335,healthy_CM,control_P1,control
336,CD4,control_P1,control
337,LYVE_FOLR_Macrophages,control_P1,control
338,vSMCs_2,control_P1,control
339,CCL18_Macrophages,control_P1,control
340,Myofib,control_P1,control
341,Fib_SCARA5,control_P1,control
342,Fib_3,control_P1,control
343,intermediate_CM,control_P1,control
344,Capillary_Endo,control_P1,control
345,Myofib,control_P1,control
346,Fib_3,control_P1,control
347,damaged_CM,control_P1,control
348,Mast,control_P1,control
349,vCM_3,control_P1,control
350,Fib_0,control_P1,control
351,Myofib,control_P1,control
352,Fib_SCARA5,control_P1,control
353,healthy_CM,control_P1,control
354,Neuronal,control_P1,control
355,intermediate_CM,control_P1,control
356,healthy_CM,control_P1,control
357,healthy_CM,control_P1,control
358,Pericyte_1,control_P1,control
359,LYVE_PLTP_Macrophages,control_P1,control
360,intermediate_CM,control_P1,control
361,damaged_CM,control_P1,control
362,Venous_Endo,control_P1,control
363,Capillary_Endo,control_P1,control
364,Capillary_Endo,control_P1,control
365,Fib_0,control_P1,control
366,damaged_CM,control_P1,control
367,healthy_CM,control_P1,control
368,Fib_0,control_P1,control
369,damaged_CM,control_P1,control
370,Pericyte_2,control_P1,control
371,vCM_3,control_P1,control
372,Endocardial_Endo,control_P1,control
373,prolif,control_P1,control
374,healthy_CM,control_P1,control
375,healthy_CM,control_P1,control
376,Arterial_Endo,control_P1,control
377,LYVE_FOLR_Macrophages,control_P1,control
378,healthy_CM,control_P1,control
379,healthy_CM,control_P1,control
380,Capillary_Endo,control_P1,control
381,Fib_0,control_P1,control
382,healthy_CM,control_P1,control
383,Fib_0,control_P1,control
384,damaged_CM,control_P1,control
385,intermediate_CM,control_P1,control
386,Myofib,control_P1,control
387,healthy_CM,control_P1,control
388,intermediate_CM,control_P1,control
389,Fib_0,control_P1,control
390,Endocardial_Endo,control_P1,control
391,healthy_CM,control_P1,control
392,Myofib,control_P1,control
393,healthy_CM,control_P1,control
394,Arterial_Endo,control_P1,control
395,healthy_CM,control_P1,control
396,healthy_CM,control_P1,control
397,healthy_CM,control_P1,control
398,Capillary_Endo,control_P1,control
399,Fib_0,control_P1,control
400,Venous_Endo,control_P1,control
401,Fib_SCARA5,control_P1,control
402,Fib_SCARA5,control_P1,control
403,Venous_Endo,control_P1,control
404,Lymphatic_Endo,control_P1,control
405,intermediate_CM,control_P1,control
406,LYVE_FOLR_Macrophages,control_P1,control
407,Myofib,control_P1,control
408,Fib_SCARA5,control_P1,control
409,healthy_CM,control_P1,control
410,Fib_3,control_P1,control
411,Monocytes,control_P1,control
412,Fib_0,control_P1,control
413,healthy_CM,control_P1,control
414,healthy_CM,control_P1,control
415,intermediate_CM,control_P1,control
416,Fib_0,control_P1,control
417,Monocytes,control_P1,control
418,healthy_CM,control_P1,control
419,Myofib,control_P1,control
420,Fib_SCARA5,control_P1,control
421,Fib_SCARA5,control_P1,control
422,Fib_0,control_P1,control
423,healthy_CM,control_P1,control
424,healthy_CM,control_P1,control
425,Fib_SCARA5,control_P1,control
426,Venous_Endo,control_P1,control
427,healthy_CM,control_P1,control
428,Arterial_Endo,control_P1,control
429,Monocytes,control_P1,control
430,Myofib,control_P1,control
431,Endocardial_Endo,control_P1,control
432,Pericyte_1,control_P1,control
433,Fib_0,control_P1,control
434,Pericyte_1,control_P1,control
435,LYVE_FOLR_Macrophages,control_P1,control
436,intermediate_CM,control_P1,control
437,intermediate_CM,control_P1,control
438,healthy_CM,control_P1,control
439,intermediate_CM,control_P1,control
440,Fib_3,control_P1,control
441,healthy_CM,control_P1,control
442,Fib_SCARA5,control_P1,control
443,Endocardial_Endo,control_P1,control
444,Capillary_Endo,control_P1,control
445,Fib_SCARA5,control_P1,control
446,healthy_CM,control_P1,control
447,Endocardial_Endo,control_P1,control
448,healthy_CM,control_P1,control
449,Endocardial_Endo,control_P1,control
450,intermediate_CM,control_P1,control
451,healthy_CM,control_P1,control
452,Fib_SCARA5,control_P1,control
453,Arterial_Endo,control_P1,control
454,LYVE_PLTP_Macrophages,control_P1,control
455,Fib_SCARA5,control_P1,control
456,Myofib,control_P1,control
457,Venous_Endo,control_P1,control
458,LYVE_FOLR_Macrophages,control_P1,control
459,Capillary_Endo,control_P1,control
460,Monocytes,control_P1,control
461,Endocardial_Endo,control_P1,control
462,Capillary_Endo,control_P1,control
463,Pericyte_1,control_P1,control
464,Myofib,control_P1,control
465,Arterial_Endo,control_P1,control
466,LYVE_FOLR_Macrophages,control_P1,control
467,Fib_0,control_P1,control
468,Myofib,control_P1,control
469,LYVE_FOLR_Macrophages,control_P1,control
470,Myofib,control_P1,control
471,LYVE_FOLR_Macrophages,control_P1,control
472,Fib_3,control_P1,control
473,healthy_CM,control_P1,control
474,Capillary_Endo,control_P1,control
475,Arterial_Endo,control_P1,control
476,healthy_CM,control_P1,control
477,Fib_SCARA5,control_P1,control
478,Pericyte_1,control_P1,control
479,Fib_0,control_P1,control
480,healthy_CM,control_P1,control
481,Endocardial_Endo,control_P1,control
482,Adipo,control_P1,control
483,intermediate_CM,control_P1,control
484,LYVE_FOLR_Macrophages,control_P1,control
485,Capillary_Endo,control_P1,control
486,Fib_0,control_P1,control
487,Fib_3,control_P1,control
488,healthy_CM,control_P1,control
489,healthy_CM,control_P1,control
490,vSMCs_1,control_P1,control
491,Capillary_Endo,control_P1,control
492,Capillary_Endo,control_P1,control
493,LYVE_FOLR_Macrophages,control_P1,control
494,healthy_CM,control_P1,control
495,healthy_CM,control_P1,control
496,vCM_3,control_P1,control
497,Endocardial_Endo,control_P1,control
498,Endocardial_Endo,control_P1,control
499,damaged_CM,control_P1,control
500,Fib_3,control_P1,control
501,Fib_0,control_P1,control
502,healthy_CM,control_P1,control
503,Monocytes,control_P1,control
504,Arterial_Endo,control_P1,control
505,healthy_CM,control_P1,control
506,damaged_CM,control_P1,control
507,Fib_0,control_P1,control
508,damaged_CM,control_P1,control
509,healthy_CM,control_P1,control
510,Fib_SCARA5,control_P1,control
511,LYVE_FOLR_Macrophages,control_P1,control
512,healthy_CM,control_P1,control
513,Capillary_Endo,control_P1,control
514,perivascular_fibroblasts,control_P1,control
515,Fib_0,control_P1,control
516,Myofib,control_P1,control
517,Myofib,control_P1,control
518,perivascular_fibroblasts,control_P1,control
519,Fib_0,control_P1,control
520,Endocardial_Endo,control_P1,control
521,Myofib,control_P1,control
522,healthy_CM,control_P1,control
523,intermediate_CM,control_P1,control
524,healthy_CM,control_P1,control
525,Fib_SCARA5,control_P1,control
526,LYVE_FOLR_Macrophages,control_P1,control
527,Pericyte_1,control_P1,control
528,damaged_CM,control_P1,control
529,Fib_3,control_P1,control
530,Fib_SCARA5,control_P1,control
531,Capillary_Endo,control_P1,control
532,Capillary_Endo,control_P1,control
533,intermediate_CM,control_P1,control
534,Pericyte_1,control_P1,control
535,Capillary_Endo,control_P1,control
536,Capillary_Endo,control_P1,control
537,healthy_CM,control_P1,control
538,Fib_0,control_P1,control
539,Endocardial_Endo,control_P1,control
540,healthy_CM,control_P1,control
541,Myofib,control_P1,control
542,Pericyte_1,control_P1,control
543,healthy_CM,control_P1,control
544,healthy_CM,control_P1,control
545,damaged_CM,control_P1,control
546,Fib_SCARA5,control_P1,control
547,LYVE_FOLR_Macrophages,control_P1,control
548,LYVE_PLTP_Macrophages,control_P1,control
549,Fib_SCARA5,control_P1,control
550,Fib_0,control_P1,control
551,healthy_CM,control_P1,control
552,healthy_CM,control_P1,control
553,prolif,control_P1,control
554,Fib_SCARA5,control_P1,control
555,intermediate_CM,control_P1,control
556,healthy_CM,control_P1,control
557,healthy_CM,control_P1,control
558,Arterial_Endo,control_P1,control
559,Endocardial_Endo,control_P1,control
560,intermediate_CM,control_P1,control
561,Endocardial_Endo,control_P1,control
562,Myofib,control_P1,control
563,Capillary_Endo,control_P1,control
564,Fib_0,control_P1,control
565,LYVE_FOLR_Macrophages,control_P1,control
566,Monocytes,control_P1,control
567,healthy_CM,control_P1,control
568,Endocardial_Endo,control_P1,control
569,healthy_CM,control_P1,control
570,healthy_CM,control_P1,control
571,healthy_CM,control_P1,control
572,Fib_SCARA5,control_P1,control
573,healthy_CM,control_P1,control
574,Venous_Endo,control_P1,control
575,Myofib,control_P1,control
576,Fib_0,control_P1,control
577,Pericyte_2,control_P1,control
578,Myofib,control_P1,control
579,Capillary_Endo,control_P1,control
580,healthy_CM,control_P1,control
581,LYVE_PLTP_Macrophages,control_P1,control
582,Fib_0,control_P1,control
583,LYVE_FOLR_Macrophages,control_P1,control
584,Fib_3,control_P1,control
585,damaged_CM,control_P1,control
586,Endocardial_Endo,control_P1,control
587,vSMCs_1,control_P1,control
588,NK,control_P1,control
589,Fib_0,control_P1,control
590,damaged_CM,control_P1,control
591,Pericyte_1,control_P1,control
592,intermediate_CM,control_P1,control
593,Pericyte_1,control_P1,control
594,healthy_CM,control_P1,control
595,vCM_3,control_P1,control
596,Mast,control_P1,control
597,vSMCs_2,control_P1,control
598,Fib_SCARA5,control_P1,control
599,healthy_CM,control_P1,control
600,Arterial_Endo,control_P1,control
601,Endocardial_Endo,control_P1,control
602,Myofib,control_P1,control
603,Endocardial_Endo,control_P1,control
604,intermediate_CM,control_P1,control
605,Venous_Endo,control_P1,control
606,healthy_CM,control_P1,control
607,Fib_SCARA5,control_P1,control
608,Fib_0,control_P1,control
609,Endocardial_Endo,control_P1,control
610,Myofib,control_P1,control
611,Lymphatic_Endo,control_P1,control
612,vCM_3,control_P1,control
613,Endocardial_Endo,control_P1,control
614,healthy_CM,control_P1,control
615,intermediate_CM,control_P1,control
616,healthy_CM,control_P1,control
617,intermediate_CM,control_P1,control
618,Pericyte_1,control_P1,control
619,Fib_SCARA5,control_P1,control
620,LYVE_FOLR_Macrophages,control_P1,control
621,intermediate_CM,control_P1,control
622,Mast,control_P1,control
623,Fib_SCARA5,control_P1,control
624,Myofib,control_P1,control
625,damaged_CM,control_P1,control
626,healthy_CM,control_P1,control
627,Fib_3,control_P1,control
628,healthy_CM,control_P1,control
629,healthy_CM,control_P1,control
630,Fib_3,control_P1,control
631,Myofib,control_P1,control
632,Fib_SCARA5,control_P1,control
633,Venous_Endo,control_P1,control
634,Pericyte_1,control_P1,control
635,Capillary_Endo,control_P1,control
636,Fib_0,control_P1,control
637,Endocardial_Endo,control_P1,control
638,healthy_CM,control_P1,control
639,Fib_0,control_P1,control
640,Fib_0,control_P1,control
641,healthy_CM,control_P1,control
642,Fib_0,control_P1,control
643,Fib_0,control_P1,control
644,intermediate_CM,control_P1,control
645,healthy_CM,control_P1,control
646,vSMCs_1,control_P1,control
647,Myofib,control_P1,control
648,Myofib,control_P1,control
649,Myofib,control_P1,control
650,Fib_0,control_P1,control
651,Myofib,control_P1,control
652,healthy_CM,control_P1,control
653,healthy_CM,control_P1,control
654,Fib_SCARA5,control_P1,control
655,Fib_0,control_P1,control
656,Endocardial_Endo,control_P1,control
657,Fib_SCARA5,control_P1,control
658,intermediate_CM,control_P1,control
659,Fib_3,control_P1,control
660,vCM_3,control_P1,control
661,Fib_SCARA5,control_P1,control
662,healthy_CM,control_P1,control
663,Pericyte_1,control_P1,control
664,healthy_CM,control_P1,control
665,healthy_CM,control_P1,control
666,Pericyte_1,control_P1,control
667,Monocytes,control_P1,control
668,healthy_CM,control_P1,control
669,healthy_CM,control_P1,control
670,damaged_CM,control_P1,control
671,Fib_3,control_P1,control
672,healthy_CM,control_P1,control
673,Myofib,control_P1,control
674,healthy_CM,control_P1,control
675,Fib_SCARA5,control_P1,control
676,Fib_SCARA5,control_P1,control
677,Arterial_Endo,control_P1,control
678,Fib_0,control_P1,control
679,healthy_CM,control_P1,control
680,damaged_CM,control_P1,control
681,LYVE_FOLR_Macrophages,control_P1,control
682,Pericyte_1,control_P1,control
683,Fib_SCARA5,control_P1,control
684,vCM_3,control_P1,control
685,Fib_SCARA5,control_P1,control
686,healthy_CM,control_P1,control
687,Fib_3,control_P1,control
688,intermediate_CM,control_P1,control
689,LYVE_FOLR_Macrophages,control_P1,control
690,Fib_0,control_P1,control
691,Arterial_Endo,control_P1,control
692,Fib_SCARA5,control_P1,control
693,Endocardial_Endo,control_P1,control
694,vCM_3,control_P1,control
695,damaged_CM,control_P1,control
696,LYVE_FOLR_Macrophages,control_P1,control
697,Fib_0,control_P1,control
698,Capillary_Endo,control_P1,control
699,intermediate_CM,control_P1,control
700,healthy_CM,control_P1,control
701,healthy_CM,control_P1,control
702,Fib_SCARA5,control_P1,control
703,Fib_3,control_P1,control
704,Fib_SCARA5,control_P1,control
705,healthy_CM,control_P1,control
706,intermediate_CM,control_P1,control
707,Pericyte_1,control_P1,control
708,intermediate_CM,control_P1,control
709,Fib_0,control_P1,control
710,Arterial_Endo,control_P1,control
711,healthy_CM,control_P1,control
712,intermediate_CM,control_P1,control
713,healthy_CM,control_P1,control
714,Fib_SCARA5,control_P1,control
715,Monocytes,control_P1,control
716,healthy_CM,control_P1,control
717,Fib_SCARA5,control_P1,control
718,Arterial_Endo,control_P1,control
719,healthy_CM,control_P1,control
720,LYVE_FOLR_Macrophages,control_P1,control
721,Myofib,control_P1,control
722,Endocardial_Endo,control_P1,control
723,Fib_0,control_P1,control
724,Fib_SCARA5,control_P1,control
725,Fib_SCARA5,control_P1,control
726,healthy_CM,control_P1,control
727,Fib_0,control_P1,control
728,LYVE_FOLR_Macrophages,control_P1,control
729,Fib_0,control_P1,control
730,LYVE_FOLR_Macrophages,control_P1,control
731,intermediate_CM,control_P1,control
732,LYVE_FOLR_Macrophages,control_P1,control
733,Fib_SCARA5,control_P1,control
734,healthy_CM,control_P1,control
735,Fib_0,control_P1,control
736,healthy_CM,control_P1,control
737,Capillary_Endo,control_P1,control
738,Fib_0,control_P1,control
739,intermediate_CM,control_P1,control
740,Endocardial_Endo,control_P1,control
741,Myofib,control_P1,control
742,Myofib,control_P1,control
743,Fib_SCARA5,control_P1,control
744,Venous_Endo,control_P1,control
745,intermediate_CM,control_P1,control
746,Venous_Endo,control_P1,control
747,Monocytes,control_P1,control
748,Fib_0,control_P1,control
749,vSMCs_2,control_P1,control
750,LYVE_PLTP_Macrophages,control_P1,control
751,Pericyte_2,control_P1,control
752,healthy_CM,control_P1,control
753,Fib_3,control_P1,control
754,healthy_CM,control_P1,control
755,Monocytes,control_P1,control
756,Pericyte_1,control_P1,control
757,healthy_CM,control_P1,control
758,LYVE_FOLR_Macrophages,control_P1,control
759,Fib_0,control_P1,control
760,Endocardial_Endo,control_P1,control
761,Fib_SCARA5,control_P1,control
762,healthy_CM,control_P1,control
763,healthy_CM,control_P1,control
764,Fib_3,control_P1,control
765,Arterial_Endo,control_P1,control
766,Fib_0,control_P1,control
767,Venous_Endo,control_P1,control
768,Fib_SCARA5,control_P1,control
769,healthy_CM,control_P1,control
770,Myofib,control_P1,control
771,Endocardial_Endo,control_P1,control
772,Neuronal,control_P1,control
773,healthy_CM,control_P1,control
774,healthy_CM,control_P1,control
775,prolif,control_P1,control
776,Capillary_Endo,control_P1,control
777,Fib_0,control_P1,control
778,Arterial_Endo,control_P1,control
779,Endocardial_Endo,control_P1,control
780,Fib_SCARA5,control_P1,control
781,healthy_CM,control_P1,control
782,LYVE_FOLR_Macrophages,control_P1,control
783,healthy_CM,control_P1,control
784,Pericyte_2,control_P1,control
785,Fib_0,control_P1,control
786,Monocytes,control_P1,control
787,Fib_3,control_P1,control
788,LYVE_FOLR_Macrophages,control_P1,control
789,Myofib,control_P1,control
790,Monocytes,control_P1,control
791,healthy_CM,control_P1,control
792,Arterial_Endo,control_P1,control
793,healthy_CM,control_P1,control
794,Myofib,control_P1,control
795,Monocytes,control_P1,control
796,Fib_SCARA5,control_P1,control
797,LYVE_FOLR_Macrophages,control_P1,control
798,Fib_SCARA5,control_P1,control
799,Fib_0,control_P1,control
800,healthy_CM,control_P1,control
801,Myofib,control_P1,control
802,intermediate_CM,control_P1,control
803,Fib_0,control_P1,control
804,Fib_SCARA5,control_P1,control
805,Neuronal,control_P1,control
806,Fib_SCARA5,control_P1,control
807,LYVE_FOLR_Macrophages,control_P1,control
808,Mast,control_P1,control
809,Pericyte_2,control_P1,control
810,LYVE_FOLR_Macrophages,control_P1,control
811,LYVE_PLTP_Macrophages,control_P1,control
812,Fib_3,control_P1,control
813,Venous_Endo,control_P1,control
814,Arterial_Endo,control_P1,control
815,Fib_0,control_P1,control
