Gene stable ID,HGNC ID,HGNC symbol,Gene name,Chromosome/scaffold name
ENSG00000226179,HGNC:27560,LINC00685,LINC00685,X
ENSG00000283400,,,,X
ENSG00000126010,HGNC:4609,GRPR,GRPR,X
ENSG00000283631,,,,X
ENSG00000235211,HGNC:41950,TMSB10P2,TMSB10P2,X
ENSG00000177324,HGNC:28509,BEND2,BEND2,X
ENSG00000174028,HGNC:34501,FAM3C2P,FAM3C2P,X
ENSG00000225882,HGNC:50846,LINC01456,LINC01456,X
ENSG00000185638,HGNC:39090,FTH1P14,FTH1P14,X
ENSG00000236929,HGNC:36426,RPL35AP37,RPL35AP37,X
ENSG00000286724,,,,X
ENSG00000223391,HGNC:9946,RDXP2,RDXP2,X
ENSG00000214031,HGNC:54935,CLDN7P1,CLDN7P1,X
ENSG00000147027,HGNC:18515,TMEM47,TMEM47,X
ENSG00000233247,HGNC:32199,UBE2E4P,UBE2E4P,X
ENSG00000233007,HGNC:50288,UBTFL11,UBTFL11,X
ENSG00000225066,HGNC:54898,MDM4P1,MDM4P1,X
ENSG00000232370,HGNC:54932,BAG1P1,BAG1P1,X
ENSG00000219870,HGNC:42020,BRK1P1,BRK1P1,X
ENSG00000236072,HGNC:54922,SRSF2P1,SRSF2P1,X
ENSG00000235642,HGNC:41932,PTP4A1P5,PTP4A1P5,X
ENSG00000287171,,,,X
ENSG00000185915,HGNC:26634,KLHL34,KLHL34,X
ENSG00000197976,HGNC:18783,AKAP17A,AKAP17A,X
ENSG00000091482,HGNC:11122,SMPX,SMPX,X
ENSG00000149970,HGNC:19701,CNKSR2,CNKSR2,X
ENSG00000036473,HGNC:8512,OTC,OTC,X
ENSG00000147041,HGNC:15589,SYTL5,SYTL5,X
ENSG00000234191,HGNC:50339,LINC01283,LINC01283,X
ENSG00000273704,,,,X
ENSG00000235071,,,,X
ENSG00000176812,HGNC:54907,METTL1P1,METTL1P1,X
ENSG00000224339,HGNC:10546,SC4MOP,SC4MOP,X
ENSG00000237782,HGNC:54943,PLLPP1,PLLPP1,X
ENSG00000234355,HGNC:39091,FTH1P27,FTH1P27,X
ENSG00000238178,,,,X
ENSG00000233921,HGNC:36041,RPS15AP40,RPS15AP40,X
ENSG00000229384,HGNC:39098,HMGB1P16,HMGB1P16,X
ENSG00000285899,,,,X
ENSG00000271136,,,,X
ENSG00000235587,HGNC:4143,GAPDHP65,GAPDHP65,X
ENSG00000233571,,,,X
ENSG00000224960,HGNC:33146,PPP4R3C,PPP4R3C,X
ENSG00000101958,HGNC:4327,GLRA2,GLRA2,X
ENSG00000228610,HGNC:50340,PDCL2P1,PDCL2P1,X
ENSG00000227988,HGNC:42350,TDGF1P1,TDGF1P1,X
ENSG00000213997,HGNC:42454,PGAM1P7,PGAM1P7,X
ENSG00000173698,HGNC:4516,ADGRG2,ADGRG2,X
ENSG00000131831,HGNC:9835,RAI2,RAI2,X
ENSG00000286306,,,,X
ENSG00000229735,HGNC:37966,FTLP16,FTLP16,X
ENSG00000214019,HGNC:54942,RBM39P1,RBM39P1,X
ENSG00000242021,,,,X
ENSG00000047230,HGNC:2520,CTPS2,CTPS2,X
ENSG00000237661,HGNC:54936,TNIP2P1,TNIP2P1,X
ENSG00000228232,HGNC:4159,GAPDHP1,GAPDHP1,X
ENSG00000169906,HGNC:1436,S100G,S100G,X
ENSG00000270499,HGNC:49230,MKI67P1,MKI67P1,X
ENSG00000229491,,,,X
ENSG00000220132,HGNC:54959,CPSF1P2,CPSF1P2,X
ENSG00000229347,,,,X
ENSG00000187516,HGNC:18417,H2AP,H2AP,X
ENSG00000197582,HGNC:4560,GPX1P1,GPX1P1,X
ENSG00000102218,HGNC:10274,RP2,RP2,X
ENSG00000241607,,,,X
ENSG00000012174,HGNC:15455,MBTPS2,MBTPS2,X
ENSG00000233810,HGNC:42639,MOB1AP2,MOB1AP2,X
ENSG00000174678,HGNC:34342,FAM47DP,FAM47DP,X
ENSG00000230227,HGNC:30966,SIAH1P1,SIAH1P1,X
ENSG00000182798,HGNC:17418,MAGEB17,MAGEB17,X
ENSG00000229310,HGNC:39769,RPP40P1,RPP40P1,X
ENSG00000228933,,,,X
ENSG00000232834,,,,X
ENSG00000235685,,,,X
ENSG00000233663,,,,X
ENSG00000259977,,,,X
ENSG00000189132,HGNC:26659,FAM47B,FAM47B,X
ENSG00000102098,HGNC:10581,SCML2,SCML2,X
ENSG00000215286,HGNC:54946,SRSF6P1,SRSF6P1,X
ENSG00000231235,HGNC:54948,CTNNBL1P1,CTNNBL1P1,X
ENSG00000226048,HGNC:42429,YBX1P8,YBX1P8,X
ENSG00000181977,HGNC:31855,PYY3,PYY3,X
ENSG00000228827,,,,X
ENSG00000271088,,,,X
ENSG00000158526,HGNC:25455,TSR2,TSR2,X
ENSG00000231750,HGNC:23108,NANOGP10,NANOGP10,X
ENSG00000233880,HGNC:54923,NFYCP1,NFYCP1,X
ENSG00000183690,HGNC:26233,EFHC2,EFHC2,X
ENSG00000229563,HGNC:49635,LINC01204,LINC01204,X
ENSG00000238190,HGNC:39097,HMGB1P15,HMGB1P15,X
ENSG00000180182,HGNC:2370,MED14,MED14,X
ENSG00000147119,HGNC:13817,CHST7,CHST7,X
ENSG00000204915,HGNC:54944,MFFP3,MFFP3,X
ENSG00000233543,HGNC:35443,CHTF8P1,CHTF8P1,X
ENSG00000289084,,,,X
ENSG00000273820,HGNC:13486,USP27X,USP27X,X
ENSG00000230039,HGNC:54656,CCNYL5,CCNYL5,X
ENSG00000171365,HGNC:2023,CLCN5,CLCN5,X
ENSG00000184735,HGNC:20083,DDX53,DDX53,X
ENSG00000283380,,,,X
ENSG00000275681,,,,X
ENSG00000276474,,,,X
ENSG00000237528,HGNC:54960,UQCR10P1,UQCR10P1,X
ENSG00000269902,,,,X
ENSG00000215284,HGNC:54950,CHMP5P1,CHMP5P1,X
ENSG00000233807,HGNC:54911,AMZ2P3,AMZ2P3,X
ENSG00000238247,HGNC:54912,RDXP3,RDXP3,X
ENSG00000219186,HGNC:33525,FTH1P19,FTH1P19,X
ENSG00000287767,,,,X
ENSG00000177689,HGNC:25377,MAGEB10,MAGEB10,X
ENSG00000228345,,,,X
ENSG00000276689,,,,X
ENSG00000271519,,,,X
ENSG00000224556,,,,X
ENSG00000232951,HGNC:39837,IPO7P1,IPO7P1,X
ENSG00000231772,,,,X
ENSG00000227493,,,,X
ENSG00000102313,HGNC:28907,ITIH6,ITIH6,X
ENSG00000165186,HGNC:26392,PTCHD1,PTCHD1,X
ENSG00000169895,HGNC:16273,SYAP1,SYAP1,X
ENSG00000102043,HGNC:16825,MTMR8,MTMR8,X
ENSG00000237311,,,,X
ENSG00000214282,HGNC:33366,KRT8P14,KRT8P14,X
ENSG00000234570,HGNC:38030,ZFRP1,ZFRP1,X
ENSG00000277516,,,,X
ENSG00000008086,HGNC:11411,CDKL5,CDKL5,X
ENSG00000287215,,,,X
ENSG00000196368,HGNC:18011,NUDT11,NUDT11,X
ENSG00000165164,HGNC:26708,CFAP47,CFAP47,X
ENSG00000236852,HGNC:54972,SSBL2P,SSBL2P,X
ENSG00000229731,,,,X
ENSG00000237926,,,,X
ENSG00000268994,HGNC:52640,FAM236B,FAM236B,X
ENSG00000124479,HGNC:7678,NDP,NDP,X
ENSG00000230797,HGNC:31684,YY2,YY2,X
ENSG00000230926,,,,X
ENSG00000233833,HGNC:3480,ETF1P3,ETF1P3,X
ENSG00000227261,HGNC:39028,YWHAZP7,YWHAZP7,X
ENSG00000165169,HGNC:11694,DYNLT3,DYNLT3,X
ENSG00000277499,,,,X
ENSG00000147081,HGNC:374,AKAP4,AKAP4,X
ENSG00000069535,HGNC:6834,MAOB,MAOB,X
ENSG00000225664,HGNC:39029,YWHAZP8,YWHAZP8,X
ENSG00000213754,HGNC:54976,KPNA4P1,KPNA4P1,X
ENSG00000155659,HGNC:17032,VSIG4,VSIG4,X
ENSG00000229168,HGNC:35713,RPL19P20,RPL19P20,X
ENSG00000102221,HGNC:22982,JADE3,JADE3,X
ENSG00000189299,HGNC:30469,FOXR2,FOXR2,X
ENSG00000065923,HGNC:17123,SLC9A7,SLC9A7,X
ENSG00000232794,HGNC:5038,HNRNPDP1,HNRNPDP1,X
ENSG00000217835,HGNC:54979,RBMXP5,RBMXP5,X
ENSG00000231944,HGNC:40446,PHKA1-AS1,PHKA1-AS1,X
ENSG00000187601,HGNC:24092,MAGEH1,MAGEH1,X
ENSG00000230844,HGNC:44266,ZNF674-AS1,ZNF674-AS1,X
ENSG00000228492,HGNC:42366,RAB11FIP1P1,RAB11FIP1P1,X
ENSG00000204113,HGNC:17080,BMP2KL,BMP2KL,X
ENSG00000270280,HGNC:54940,SMIM15P1,SMIM15P1,X
ENSG00000274588,HGNC:32395,DGKK,DGKK,X
ENSG00000215162,HGNC:26586,LINC00269,LINC00269,X
ENSG00000236276,HGNC:40395,NDP-AS1,NDP-AS1,X
ENSG00000283737,,,,X
ENSG00000233661,HGNC:41177,SPIN4-AS1,SPIN4-AS1,X
ENSG00000087842,HGNC:30048,PIR,PIR,X
ENSG00000234135,HGNC:35846,RPL23AP83,RPL23AP83,X
ENSG00000235136,HGNC:54966,PSMA5P1,PSMA5P1,X
ENSG00000226199,,,,X
ENSG00000131080,HGNC:17756,EDA2R,EDA2R,X
ENSG00000283349,HGNC:53808,PFN5P,PFN5P,X
ENSG00000173198,HGNC:17451,CYSLTR1,CYSLTR1,X
ENSG00000182220,HGNC:18305,ATP6AP2,ATP6AP2,X
ENSG00000147100,HGNC:10923,SLC16A2,SLC16A2,X
ENSG00000204904,HGNC:17986,LINC01545,LINC01545,X
ENSG00000232186,HGNC:54603,TERF1P7,TERF1P7,X
ENSG00000213684,HGNC:6543,LDHBP2,LDHBP2,X
ENSG00000214745,HGNC:54891,GOT2P6,GOT2P6,X
ENSG00000235170,HGNC:42080,MTND1P31,MTND1P31,X
ENSG00000231831,HGNC:7433,MTHFD1P1,MTHFD1P1,X
ENSG00000187969,HGNC:31749,ZCCHC13,ZCCHC13,X
ENSG00000230311,HGNC:50522,TOMM20P4,TOMM20P4,X
ENSG00000102302,HGNC:3663,FGD1,FGD1,X
ENSG00000226502,HGNC:33379,KRT8P27,KRT8P27,X
ENSG00000283546,,,,X
ENSG00000102316,HGNC:16353,MAGED2,MAGED2,X
ENSG00000250349,,,,X
ENSG00000102349,HGNC:6351,KLF8,KLF8,X
ENSG00000223707,HGNC:51532,SFR1P2,SFR1P2,X
ENSG00000230247,HGNC:48750,HNRNPH3P1,HNRNPH3P1,X
ENSG00000230665,HGNC:39563,THAP12P1,THAP12P1,X
ENSG00000276897,,,,X
ENSG00000225715,HGNC:55003,PSMA1P1,PSMA1P1,X
ENSG00000237089,HGNC:41976,PCNPP4,PCNPP4,X
ENSG00000271693,,,,X
ENSG00000155622,HGNC:4112,XAGE2,XAGE2,X
ENSG00000223574,HGNC:44567,TPMTP4,TPMTP4,X
ENSG00000233063,HGNC:37638,SAR1AP4,SAR1AP4,X
ENSG00000196468,HGNC:3672,FGF16,FGF16,X
ENSG00000232168,HGNC:32924,P2RY10BP,P2RY10BP,X
ENSG00000237252,HGNC:54996,MMADHCP1,MMADHCP1,X
ENSG00000147183,HGNC:2332,CPXCR1,CPXCR1,X
ENSG00000224755,HGNC:39378,HMGN1P34,HMGN1P34,X
ENSG00000147099,HGNC:13315,HDAC8,HDAC8,X
ENSG00000094841,HGNC:28334,UPRT,UPRT,X
ENSG00000227521,HGNC:55021,TUBB4BP8,TUBB4BP8,X
ENSG00000226484,,,,X
ENSG00000226515,,,,X
ENSG00000232576,,,,X
ENSG00000237211,HGNC:42923,SETP4,SETP4,X
ENSG00000274022,,,,X
ENSG00000230317,HGNC:50342,LINC01284,LINC01284,X
ENSG00000234390,HGNC:27249,USP27X-DT,USP27X-DT,X
ENSG00000228182,HGNC:42126,MTND2P25,MTND2P25,X
ENSG00000165259,HGNC:26411,HDX,HDX,X
ENSG00000236988,HGNC:55031,CTDSPL2P1,CTDSPL2P1,X
ENSG00000223467,HGNC:1443,CALM1P1,CALM1P1,X
ENSG00000270268,HGNC:55002,CORO1CP1,CORO1CP1,X
ENSG00000236365,HGNC:55006,EIF3MP1,EIF3MP1,X
ENSG00000235061,HGNC:44890,UBE2V1P7,UBE2V1P7,X
ENSG00000231706,HGNC:24417,CYCSP43,CYCSP43,X
ENSG00000234766,HGNC:51162,LINC01496,LINC01496,X
ENSG00000204118,HGNC:31706,NAP1L6P,NAP1L6P,X
ENSG00000229667,HGNC:44894,UBE2V1P9,UBE2V1P9,X
ENSG00000174740,HGNC:13629,PABPC5,PABPC5,X
ENSG00000186288,HGNC:27989,PABPC1L2A,PABPC1L2A,X
ENSG00000224065,HGNC:38734,SRIP2,SRIP2,X
ENSG00000174225,HGNC:31709,ARL13A,ARL13A,X
ENSG00000213704,HGNC:3198,EEF1A1P15,EEF1A1P15,X
ENSG00000165288,HGNC:17342,BRWD3,BRWD3,X
ENSG00000271290,HGNC:45269,COPS8P1,COPS8P1,X
ENSG00000237506,HGNC:31464,RPSAP15,RPSAP15,X
ENSG00000287223,,,,X
ENSG00000229132,HGNC:37930,EIF4A1P10,EIF4A1P10,X
ENSG00000230889,HGNC:10841,SHC1P1,SHC1P1,X
ENSG00000158813,HGNC:3157,EDA,EDA,X
ENSG00000188419,HGNC:1940,CHM,CHM,X
ENSG00000227581,HGNC:55011,STAU2P1,STAU2P1,X
ENSG00000231206,HGNC:39543,HNRNPA1P25,HNRNPA1P25,X
ENSG00000288059,,,,X
ENSG00000271433,HGNC:48738,PPATP2,PPATP2,X
ENSG00000215105,HGNC:23318,TTC3P1,TTC3P1,X
ENSG00000236185,HGNC:48754,HNRNPDLP3,HNRNPDLP3,X
ENSG00000231478,HGNC:44621,FCF1P9,FCF1P9,X
ENSG00000232069,HGNC:36830,RPS29P28,RPS29P28,X
ENSG00000280870,,,MIR325HG,X
ENSG00000270308,HGNC:55030,TEX101P1,TEX101P1,X
ENSG00000225536,HGNC:49554,STIP1P3,STIP1P3,X
ENSG00000232842,HGNC:55026,KAT7P1,KAT7P1,X
ENSG00000229946,HGNC:51316,B3GNT2P1,B3GNT2P1,X
ENSG00000231875,,,,X
ENSG00000124429,HGNC:13711,POF1B,POF1B,X
ENSG00000102271,HGNC:6355,KLHL4,KLHL4,X
ENSG00000213698,HGNC:54564,CAPZA1P3,CAPZA1P3,X
ENSG00000073905,HGNC:12671,VDAC1P1,VDAC1P1,X
ENSG00000236243,HGNC:36382,RPL6P29,RPL6P29,X
ENSG00000228051,HGNC:54789,WBP11P3,WBP11P3,X
ENSG00000231549,HGNC:31716,ATP5MKP1,ATP5MKP1,X
ENSG00000229594,,,,X
ENSG00000271533,,,,X
ENSG00000220925,HGNC:40294,IGBP1-AS2,IGBP1-AS2,X
ENSG00000122824,HGNC:17621,NUDT10,NUDT10,X
ENSG00000270826,HGNC:55020,USP37P1,USP37P1,X
ENSG00000271322,,,,X
ENSG00000276892,,,,X
ENSG00000213695,HGNC:36602,RPS7P14,RPS7P14,X
ENSG00000226753,HGNC:54995,FOXN3P2,FOXN3P2,X
ENSG00000271205,,,,X
ENSG00000213269,HGNC:36713,RPS6P26,RPS6P26,X
ENSG00000198934,HGNC:24934,MAGEE1,MAGEE1,X
ENSG00000233162,HGNC:39258,MORF4L1P6,MORF4L1P6,X
ENSG00000232735,HGNC:44081,ATG4AP1,ATG4AP1,X
ENSG00000271094,,,,X
ENSG00000185222,HGNC:30084,TCEAL9,TCEAL9,X
ENSG00000229661,HGNC:51562,BUD31P2,BUD31P2,X
ENSG00000274398,,,,X
ENSG00000232293,HGNC:38100,PAICSP7,PAICSP7,X
ENSG00000230592,HGNC:31462,RPSAP8,RPSAP8,X
ENSG00000270745,,,,X
ENSG00000102390,HGNC:28790,PBDC1,PBDC1,X
ENSG00000206062,,,,X
ENSG00000271157,,,,X
ENSG00000281091,,,,X
ENSG00000271056,HGNC:29757,MRPS22P1,MRPS22P1,X
ENSG00000236256,HGNC:16972,DIAPH2-AS1,DIAPH2-AS1,X
ENSG00000230478,,,,X
ENSG00000227434,HGNC:38484,RNF19BPX,RNF19BPX,X
ENSG00000179300,HGNC:22997,RTL3,RTL3,X
ENSG00000236870,HGNC:55007,POMPP1,POMPP1,X
ENSG00000224775,HGNC:18615,BRAFP1,BRAFP1,X
ENSG00000286523,,,,X
ENSG00000224632,HGNC:43586,NUDT19P2,NUDT19P2,X
ENSG00000230275,HGNC:44631,SERBP1P4,SERBP1P4,X
ENSG00000226081,HGNC:21410,USP12PX,USP12PX,X
ENSG00000233446,HGNC:55004,PDK1P2,PDK1P2,X
ENSG00000225012,,,,X
ENSG00000122145,HGNC:11600,TBX22,TBX22,X
ENSG00000153779,HGNC:18570,TGIF2LX,TGIF2LX,X
ENSG00000234322,HGNC:38861,ST13P18,ST13P18,X
ENSG00000232267,HGNC:38676,ACTR3P2,ACTR3P2,X
ENSG00000215089,HGNC:6431,KRT18P11,KRT18P11,X
ENSG00000204272,HGNC:50713,NBDY,NBDY,X
ENSG00000234889,HGNC:55029,KPNB1P1,KPNB1P1,X
ENSG00000237873,HGNC:55016,DLGAP5P2,DLGAP5P2,X
ENSG00000225025,HGNC:13340,KIF4CP,KIF4CP,X
ENSG00000270759,HGNC:54933,OOEPP1,OOEPP1,X
ENSG00000239407,,,,X
ENSG00000226837,HGNC:39123,HMGB1P32,HMGB1P32,X
ENSG00000131171,HGNC:10823,SH3BGRL,SH3BGRL,X
ENSG00000231144,HGNC:37918,EEF1A1P40,EEF1A1P40,X
ENSG00000215085,HGNC:55023,GTF3C6P1,GTF3C6P1,X
ENSG00000236190,,,,X
ENSG00000235447,HGNC:50347,TRAPPC13P1,TRAPPC13P1,X
ENSG00000224523,,,,X
ENSG00000279437,,,,X
ENSG00000182574,HGNC:55033,CSGALNACT2P1,CSGALNACT2P1,X
ENSG00000228612,HGNC:4924,HK2P1,HK2P1,X
ENSG00000228847,HGNC:42188,ATP5MC2P4,ATP5MC2P4,X
ENSG00000188917,HGNC:25748,TRMT2B,TRMT2B,X
ENSG00000271209,HGNC:51447,BRDTP1,BRDTP1,X
ENSG00000237014,HGNC:54992,LRRFIP2P1,LRRFIP2P1,X
ENSG00000234039,HGNC:48849,NDUFA5P7,NDUFA5P7,X
ENSG00000203262,,,,X
ENSG00000287619,,,,X
ENSG00000226010,,,,X
ENSG00000170925,HGNC:11736,TEX13B,TEX13B,X
ENSG00000282914,,,,X
ENSG00000226307,HGNC:48752,HNRNPDLP1,HNRNPDLP1,X
ENSG00000226119,HGNC:55036,C3orf49P1,C3orf49P1,X
ENSG00000234405,,,,X
ENSG00000234702,HGNC:37478,VDAC1P3,VDAC1P3,X
ENSG00000215070,HGNC:45187,XRCC6P5,XRCC6P5,X
ENSG00000237748,HGNC:12583,UQCRBP1,UQCRBP1,X
ENSG00000186675,HGNC:24935,MAGEE2,MAGEE2,X
ENSG00000215102,HGNC:38500,TERF1P4,TERF1P4,X
ENSG00000213740,HGNC:32247,SERBP1P1,SERBP1P1,X
ENSG00000231001,HGNC:37695,CCNB1IP1P3,CCNB1IP1P3,X
ENSG00000238222,HGNC:7115,MKRN4P,MKRN4P,X
ENSG00000237381,HGNC:55018,NT5DC1P1,NT5DC1P1,X
ENSG00000268104,HGNC:11047,SLC6A14,SLC6A14,X
ENSG00000286077,,,,X
ENSG00000047597,HGNC:12811,XK,XK,X
ENSG00000234636,HGNC:40162,MED14OS,MED14OS,X
ENSG00000227657,HGNC:44398,SERPINA7P1,SERPINA7P1,X
ENSG00000229090,,,,X
ENSG00000270446,HGNC:55008,RPL34P36,RPL34P36,X
ENSG00000228519,HGNC:54908,RANBP1P1,RANBP1P1,X
ENSG00000187690,HGNC:33738,EZHIP,EZHIP,X
ENSG00000215174,HGNC:29887,NLRP2B,NLRP2B,X
ENSG00000234130,HGNC:55017,AP2B1P1,AP2B1P1,X
ENSG00000047648,HGNC:676,ARHGAP6,ARHGAP6,X
ENSG00000230105,,,,X
ENSG00000228004,HGNC:48924,MYCLP2,MYCLP2,X
ENSG00000198414,HGNC:39254,TATDN2P1,TATDN2P1,X
ENSG00000226854,,,,X
ENSG00000270456,,,,X
ENSG00000224054,,,,X
ENSG00000147206,HGNC:8073,NXF3,NXF3,X
ENSG00000286977,,,,X
ENSG00000270583,,,,X
ENSG00000233887,,,,X
ENSG00000101844,HGNC:16489,ATG4A,ATG4A,X
ENSG00000147160,HGNC:23251,AWAT2,AWAT2,X
ENSG00000101843,HGNC:9555,PSMD10,PSMD10,X
ENSG00000285445,HGNC:53818,TUSC2P2,TUSC2P2,X
ENSG00000123572,HGNC:25391,NRK,NRK,X
ENSG00000271457,,,,X
ENSG00000130224,HGNC:29292,LRCH2,LRCH2,X
ENSG00000223733,HGNC:36624,RPL18AP14,RPL18AP14,X
ENSG00000274374,HGNC:54873,TUBAP6,TUBAP6,X
ENSG00000069509,HGNC:28746,FUNDC1,FUNDC1,X
ENSG00000224294,HGNC:53590,PINCR,PINCR,X
ENSG00000147082,HGNC:18709,CCNB3,CCNB3,X
ENSG00000235239,HGNC:55127,ACTRT1P1,ACTRT1P1,X
ENSG00000277883,HGNC:29886,NLRP3P1,NLRP3P1,X
ENSG00000270678,,,,X
ENSG00000226241,,,,X
ENSG00000102128,HGNC:25410,RAB40AL,RAB40AL,X
ENSG00000196767,HGNC:9217,POU3F4,POU3F4,X
ENSG00000228780,,,,X
ENSG00000228041,HGNC:55005,EIF3JP1,EIF3JP1,X
ENSG00000284618,,,,X
ENSG00000230543,HGNC:41516,SNX3P1X,SNX3P1X,X
ENSG00000283594,HGNC:52641,FAM236C,FAM236C,X
ENSG00000078589,HGNC:19906,P2RY10,P2RY10,X
ENSG00000213498,HGNC:49304,TPT1P13,TPT1P13,X
ENSG00000235124,HGNC:33369,KRT8P17,KRT8P17,X
ENSG00000230973,,,,X
ENSG00000147121,HGNC:26007,KRBOX4,KRBOX4,X
ENSG00000090776,HGNC:3226,EFNB1,EFNB1,X
ENSG00000213100,HGNC:48895,KRT18P68,KRT18P68,X
ENSG00000227427,HGNC:54968,MDH1P1,MDH1P1,X
ENSG00000226579,HGNC:51997,MTCYBP31,MTCYBP31,X
ENSG00000226725,HGNC:50345,PABPC1L2B-AS1,PABPC1L2B-AS1,X
ENSG00000270493,,,,X
ENSG00000102055,HGNC:16324,PPP1R2C,PPP1R2C,X
ENSG00000232665,HGNC:39289,PHB1P10,PHB1P10,X
ENSG00000231765,HGNC:16327,PPP1R11P2,PPP1R11P2,X
ENSG00000183035,HGNC:2582,CYLC1,CYLC1,X
ENSG00000224072,HGNC:54949,VEZTP1,VEZTP1,X
ENSG00000230159,,,,X
ENSG00000147223,HGNC:25117,RIPPLY1,RIPPLY1,X
ENSG00000225957,,,,X
ENSG00000235382,HGNC:42218,MTND4P31,MTND4P31,X
ENSG00000215197,HGNC:42465,PGAM4P1,PGAM4P1,X
ENSG00000215035,HGNC:3636,FDPSP5,FDPSP5,X
ENSG00000270791,HGNC:32172,DPRXP6,DPRXP6,X
ENSG00000234901,HGNC:39476,MTND6P13,MTND6P13,X
ENSG00000285944,HGNC:53961,H2AL1MP,H2AL1MP,X
ENSG00000271154,,,,X
ENSG00000185753,HGNC:28589,CXorf38,CXorf38,X
ENSG00000235656,HGNC:36856,RPL36P18,RPL36P18,X
ENSG00000286072,,,,X
ENSG00000215093,HGNC:37904,EEF1A1P29,EEF1A1P29,X
ENSG00000235196,,,,X
ENSG00000182916,HGNC:28336,TCEAL7,TCEAL7,X
ENSG00000172186,HGNC:39379,HMGN1P35,HMGN1P35,X
ENSG00000232332,HGNC:55001,ARL5AP5,ARL5AP5,X
ENSG00000225728,HGNC:55043,TMEM230P1,TMEM230P1,X
ENSG00000230706,HGNC:55010,TMEM184CP1,TMEM184CP1,X
ENSG00000133169,HGNC:1036,BEX1,BEX1,X
ENSG00000235735,HGNC:36442,RPL7AP72,RPL7AP72,X
ENSG00000260585,,,,X
ENSG00000228450,HGNC:55131,NLRP7P1,NLRP7P1,X
ENSG00000237206,HGNC:33959,IMPDH1P4,IMPDH1P4,X
ENSG00000226372,HGNC:31810,DCAF8L1,DCAF8L1,X
ENSG00000286163,,,,X
ENSG00000213653,HGNC:36109,RPL22P22,RPL22P22,X
ENSG00000234613,,,,X
ENSG00000226881,HGNC:42981,H3P44,H3P44,X
ENSG00000277673,,,,X
ENSG00000236735,HGNC:35666,RPL31P63,RPL31P63,X
ENSG00000186767,HGNC:27040,SPIN4,SPIN4,X
ENSG00000214018,HGNC:10455,RRM2P3,RRM2P3,X
ENSG00000214009,HGNC:43736,PCNAP3,PCNAP3,X
ENSG00000233403,,,,X
ENSG00000228301,HGNC:36105,RPL7P55,RPL7P55,X
